ts_anglevertical,anglevertical,ts_charge,charge,ts_co2,co2,ts_humidity,humidity,ts_illumination,illumination,ts_noise,noise,ts_powerstate,powerstate,ts_temperature,temperature,ts_timestamp,timestamp,ts_type,type
2022-08-10 00:00:25,89,2022-08-10 00:00:25,95,2022-08-10 00:00:25,603,2022-08-10 00:00:25,43,2022-08-10 00:00:25,0,2022-08-10 00:00:25,46,2022-08-10 00:00:25,1,2022-08-10 00:00:25,28,2022-08-10 00:00:25,1577950231,2022-08-10 00:00:25,normal
2022-08-10 00:05:26,89,2022-08-10 00:05:26,95,2022-08-10 00:05:26,597,2022-08-10 00:05:26,43,2022-08-10 00:05:26,0,2022-08-10 00:05:26,46,2022-08-10 00:05:26,1,2022-08-10 00:05:26,28,2022-08-10 00:05:26,1577950531,2022-08-10 00:05:26,normal
2022-08-10 00:10:25,89,2022-08-10 00:10:25,95,2022-08-10 00:10:25,619,2022-08-10 00:10:25,43,2022-08-10 00:10:25,0,2022-08-10 00:10:25,46,2022-08-10 00:10:25,1,2022-08-10 00:10:25,28,2022-08-10 00:10:25,1577950831,2022-08-10 00:10:25,normal
2022-08-10 00:15:25,89,2022-08-10 00:15:25,95,2022-08-10 00:15:25,585,2022-08-10 00:15:25,43,2022-08-10 00:15:25,0,2022-08-10 00:15:25,46,2022-08-10 00:15:25,1,2022-08-10 00:15:25,28,2022-08-10 00:15:25,1577951131,2022-08-10 00:15:25,normal
2022-08-10 00:20:25,89,2022-08-10 00:20:25,95,2022-08-10 00:20:25,593,2022-08-10 00:20:25,43,2022-08-10 00:20:25,0,2022-08-10 00:20:25,46,2022-08-10 00:20:25,1,2022-08-10 00:20:25,28,2022-08-10 00:20:25,1577951431,2022-08-10 00:20:25,normal
2022-08-10 00:25:25,89,2022-08-10 00:25:25,95,2022-08-10 00:25:25,602,2022-08-10 00:25:25,43,2022-08-10 00:25:25,0,2022-08-10 00:25:25,46,2022-08-10 00:25:25,1,2022-08-10 00:25:25,28,2022-08-10 00:25:25,1577951731,2022-08-10 00:25:25,normal
2022-08-10 00:30:25,90,2022-08-10 00:30:25,95,2022-08-10 00:30:25,596,2022-08-10 00:30:25,43,2022-08-10 00:30:25,0,2022-08-10 00:30:25,46,2022-08-10 00:30:25,1,2022-08-10 00:30:25,28,2022-08-10 00:30:25,1577952031,2022-08-10 00:30:25,normal
2022-08-10 00:35:25,89,2022-08-10 00:35:25,95,2022-08-10 00:35:25,590,2022-08-10 00:35:25,43,2022-08-10 00:35:25,0,2022-08-10 00:35:25,46,2022-08-10 00:35:25,1,2022-08-10 00:35:25,28,2022-08-10 00:35:25,1577952331,2022-08-10 00:35:25,normal
2022-08-10 00:40:25,89,2022-08-10 00:40:25,95,2022-08-10 00:40:25,591,2022-08-10 00:40:25,43,2022-08-10 00:40:25,0,2022-08-10 00:40:25,46,2022-08-10 00:40:25,1,2022-08-10 00:40:25,28,2022-08-10 00:40:25,1577952631,2022-08-10 00:40:25,normal
2022-08-10 00:45:25,89,2022-08-10 00:45:25,95,2022-08-10 00:45:25,591,2022-08-10 00:45:25,43,2022-08-10 00:45:25,0,2022-08-10 00:45:25,46,2022-08-10 00:45:25,1,2022-08-10 00:45:25,27.9,2022-08-10 00:45:25,1577952931,2022-08-10 00:45:25,normal
2022-08-10 00:50:25,89,2022-08-10 00:50:25,95,2022-08-10 00:50:25,590,2022-08-10 00:50:25,43,2022-08-10 00:50:25,0,2022-08-10 00:50:25,46,2022-08-10 00:50:25,1,2022-08-10 00:50:25,27.9,2022-08-10 00:50:25,1577953231,2022-08-10 00:50:25,normal
2022-08-10 00:55:25,89,2022-08-10 00:55:25,95,2022-08-10 00:55:25,602,2022-08-10 00:55:25,43,2022-08-10 00:55:25,0,2022-08-10 00:55:25,46,2022-08-10 00:55:25,1,2022-08-10 00:55:25,27.9,2022-08-10 00:55:25,1577953531,2022-08-10 00:55:25,normal
2022-08-10 01:00:25,89,2022-08-10 01:00:25,95,2022-08-10 01:00:25,590,2022-08-10 01:00:25,43,2022-08-10 01:00:25,0,2022-08-10 01:00:25,46,2022-08-10 01:00:25,1,2022-08-10 01:00:25,27.9,2022-08-10 01:00:25,1577953831,2022-08-10 01:00:25,normal
2022-08-10 01:05:25,89,2022-08-10 01:05:25,95,2022-08-10 01:05:25,588,2022-08-10 01:05:25,43,2022-08-10 01:05:25,0,2022-08-10 01:05:25,46,2022-08-10 01:05:25,1,2022-08-10 01:05:25,27.9,2022-08-10 01:05:25,1577954131,2022-08-10 01:05:25,normal
2022-08-10 01:10:25,90,2022-08-10 01:10:25,95,2022-08-10 01:10:25,603,2022-08-10 01:10:25,43,2022-08-10 01:10:25,0,2022-08-10 01:10:25,46,2022-08-10 01:10:25,1,2022-08-10 01:10:25,27.9,2022-08-10 01:10:25,1577954431,2022-08-10 01:10:25,normal
2022-08-10 01:15:25,89,2022-08-10 01:15:25,95,2022-08-10 01:15:25,580,2022-08-10 01:15:25,44,2022-08-10 01:15:25,0,2022-08-10 01:15:25,46,2022-08-10 01:15:25,1,2022-08-10 01:15:25,27.9,2022-08-10 01:15:25,1577954731,2022-08-10 01:15:25,normal
2022-08-10 01:20:25,89,2022-08-10 01:20:25,95,2022-08-10 01:20:25,606,2022-08-10 01:20:25,44,2022-08-10 01:20:25,0,2022-08-10 01:20:25,46,2022-08-10 01:20:25,1,2022-08-10 01:20:25,27.9,2022-08-10 01:20:25,1577955031,2022-08-10 01:20:25,normal
2022-08-10 01:25:25,89,2022-08-10 01:25:25,95,2022-08-10 01:25:25,596,2022-08-10 01:25:25,44,2022-08-10 01:25:25,0,2022-08-10 01:25:25,46,2022-08-10 01:25:25,1,2022-08-10 01:25:25,27.9,2022-08-10 01:25:25,1577955331,2022-08-10 01:25:25,normal
2022-08-10 01:30:25,89,2022-08-10 01:30:25,95,2022-08-10 01:30:25,602,2022-08-10 01:30:25,44,2022-08-10 01:30:25,0,2022-08-10 01:30:25,46,2022-08-10 01:30:25,1,2022-08-10 01:30:25,27.9,2022-08-10 01:30:25,1577955631,2022-08-10 01:30:25,normal
2022-08-10 01:35:25,89,2022-08-10 01:35:25,95,2022-08-10 01:35:25,607,2022-08-10 01:35:25,44,2022-08-10 01:35:25,0,2022-08-10 01:35:25,46,2022-08-10 01:35:25,1,2022-08-10 01:35:25,27.9,2022-08-10 01:35:25,1577955931,2022-08-10 01:35:25,normal
2022-08-10 01:40:25,89,2022-08-10 01:40:25,95,2022-08-10 01:40:25,599,2022-08-10 01:40:25,44,2022-08-10 01:40:25,0,2022-08-10 01:40:25,46,2022-08-10 01:40:25,1,2022-08-10 01:40:25,27.9,2022-08-10 01:40:25,1577956231,2022-08-10 01:40:25,normal
2022-08-10 01:45:25,89,2022-08-10 01:45:25,95,2022-08-10 01:45:25,589,2022-08-10 01:45:25,44,2022-08-10 01:45:25,0,2022-08-10 01:45:25,46,2022-08-10 01:45:25,1,2022-08-10 01:45:25,27.8,2022-08-10 01:45:25,1577956531,2022-08-10 01:45:25,normal
2022-08-10 01:50:25,89,2022-08-10 01:50:25,95,2022-08-10 01:50:25,596,2022-08-10 01:50:25,44,2022-08-10 01:50:25,0,2022-08-10 01:50:25,46,2022-08-10 01:50:25,1,2022-08-10 01:50:25,27.8,2022-08-10 01:50:25,1577956831,2022-08-10 01:50:25,normal
2022-08-10 01:55:25,89,2022-08-10 01:55:25,95,2022-08-10 01:55:25,596,2022-08-10 01:55:25,44,2022-08-10 01:55:25,0,2022-08-10 01:55:25,46,2022-08-10 01:55:25,1,2022-08-10 01:55:25,27.8,2022-08-10 01:55:25,1577957131,2022-08-10 01:55:25,normal
2022-08-10 02:00:26,89,2022-08-10 02:00:26,95,2022-08-10 02:00:26,584,2022-08-10 02:00:26,44,2022-08-10 02:00:26,0,2022-08-10 02:00:26,46,2022-08-10 02:00:26,1,2022-08-10 02:00:26,27.8,2022-08-10 02:00:26,1577957431,2022-08-10 02:00:26,normal
2022-08-10 02:05:25,89,2022-08-10 02:05:25,95,2022-08-10 02:05:25,590,2022-08-10 02:05:25,44,2022-08-10 02:05:25,0,2022-08-10 02:05:25,47,2022-08-10 02:05:25,1,2022-08-10 02:05:25,27.8,2022-08-10 02:05:25,1577957731,2022-08-10 02:05:25,normal
2022-08-10 02:10:25,89,2022-08-10 02:10:25,95,2022-08-10 02:10:25,605,2022-08-10 02:10:25,44,2022-08-10 02:10:25,0,2022-08-10 02:10:25,46,2022-08-10 02:10:25,1,2022-08-10 02:10:25,27.8,2022-08-10 02:10:25,1577958031,2022-08-10 02:10:25,normal
